CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"2,568",888,"27,428",25.69,62.00,-88.45,360,61.40,62.50,600,"13,100.00",120,503.20,608.15,120,371.50,650.00,36.71,565,-343,"1,641",
,170,53,"1,064",25.73,58.50,-82.20,360,57.55,58.75,360,"13,125.00",120,530.15,707.95,120,241.00,532.65,-,8,-2,70,
,312,82,"1,050",25.38,53.65,-76.95,360,52.90,54.00,360,"13,150.00",120,553.75,715.15,360,271.75,580.05,16.43,15,-5,239,
,129,8,559,25.52,49.00,-71.35,360,49.15,50.20,360,"13,175.00",120,579.65,695.65,480,298.60,626.10,22.87,7,-4,89,
,"2,188",70,"11,165",25.73,45.75,-63.35,480,45.90,46.50,480,"13,200.00",360,598.40,723.05,360,334.55,674.00,38.42,304,-76,988,
,345,76,524,25.76,42.65,-56.65,480,42.30,43.30,480,"13,225.00",120,626.00,807.30,360,-2.15,690.00,27.14,7,-3,216,
,498,53,853,25.76,38.75,-52.40,480,38.95,39.90,480,"13,250.00",120,644.40,"1,007.85",360,235.50,596.00,-,12,-7,317,
,226,85,473,25.50,37.10,-46.05,480,36.55,37.45,480,"13,275.00",120,671.95,855.55,720,-,-,23.74,-,-,79,
,"3,388",964,"13,506",25.95,34.45,-41.45,120,33.55,34.40,480,"13,300.00",120,751.50,791.15,120,366.20,773.40,41.04,98,-33,657,
,188,89,476,25.65,30.85,-37.25,480,31.15,32.00,600,"13,325.00",360,663.60,827.75,120,-,-,-,-,-,71,
,223,17,720,25.76,30.25,-32.05,480,29.30,30.15,480,"13,350.00","2,640",702.90,880.35,360,-,-,33.80,-,-,88,
,163,86,594,25.58,27.15,-29.70,480,26.50,27.40,480,"13,375.00",120,768.30,954.25,360,-,-,31.85,-,-,54,
,"1,597",282,"7,810",26.35,26.00,-25.10,480,24.30,26.40,360,"13,400.00",360,790.10,874.20,120,487.20,975.25,50.40,21,-8,488,
,137,-17,285,26.69,23.20,-23.25,240,23.20,24.55,120,"13,425.00","2,640",711.10,963.55,"3,360",-,-,-,-,-,45,
,157,-65,329,25.53,21.85,-20.20,240,19.50,24.00,"1,200","13,450.00",120,835.05,984.25,120,-,-,27.75,-,-,84,
,87,-13,147,27.01,20.00,-16.45,120,16.40,26.30,"1,200","13,475.00",120,868.05,"1,018.25",360,331.35,896.30,17.45,22,-18,33,
,"5,446",105,"10,630",26.78,19.95,-13.80,240,19.40,20.00,"2,160","13,500.00",120,936.40,967.70,120,372.85,935.30,46.94,137,-37,"1,685",
,82,-4,176,26.76,14.25,-15.50,120,15.70,29.05,"2,640","13,525.00",120,603.45,"1,085.55",120,-,-,-,-,-,101,
,402,47,619,26.86,17.60,-9.45,120,13.05,18.80,"1,200","13,550.00",120,957.35,"1,047.80",120,-,-,-,-,-,336,
,81,-15,93,27.24,19.65,-5.35,120,11.00,20.75,"1,200","13,575.00",120,980.15,"1,070.00",480,-,-,-,-,-,119,
,"1,914",-210,"5,780",27.42,15.50,-7.15,840,13.70,15.50,360,"13,600.00",360,980.20,"1,063.85",120,511.05,"1,157.65",53.99,42,-28,"1,127",
,112,26,77,27.55,14.55,-6.10,120,8.55,14.55,120,"13,625.00",120,"1,016.30","1,139.95",120,-,-,-,-,-,100,
,412,86,316,27.63,13.00,-5.15,480,10.60,14.80,"1,200","13,650.00","2,640",992.35,"1,246.90","2,640",-,-,42.37,-,-,265,
,109,13,44,27.91,10.85,-6.25,120,10.85,14.00,360,"13,675.00",120,"1,029.15","1,190.70",120,-,-,10.56,-,-,74,
,"2,142",-523,"4,859",28.12,12.00,-3.25,120,10.80,12.00,480,"13,700.00",120,"1,078.25","1,285.20",360,502.60,"1,254.05",56.38,26,-6,985,
,72,-5,79,27.26,7.90,-6.55,120,9.50,14.10,120,"13,725.00",360,"1,130.90","1,261.45",360,-,-,-,-,-,43,
,326,14,331,28.92,12.00,-1.55,120,8.65,11.50,"1,200","13,750.00",720,"1,132.65","1,268.70",120,178.70,"1,044.70",-,1,-,91,
,56,15,77,27.44,6.75,-6.55,120,6.55,12.20,120,"13,775.00",120,"1,160.00","1,358.85",120,-,-,-,-,-,32,
,"2,581","-1,118","4,688",28.86,8.30,-2.80,600,8.30,9.50,840,"13,800.00",720,"1,170.90","1,265.15",120,513.15,"1,352.20",58.97,14,-7,176,
,43,-3,19,27.57,5.70,-5.50,120,5.70,13.20,"1,200","13,825.00",360,"1,139.45","1,350.90",720,-,-,-,-,-,22,
,261,5,211,30.18,7.30,-3.90,120,6.65,9.95,120,"13,850.00",120,"1,249.40","1,368.85",240,-,-,-,-,-,19,
,74,7,42,28.37,5.60,-4.65,120,5.65,16.90,"2,640","13,875.00",240,"1,234.30","1,400.45",360,-,-,-,-,-,14,
,404,-201,"1,398",30.23,7.30,-1.65,120,6.10,8.20,"1,200","13,900.00",360,"1,268.90","1,427.20",360,449.20,"1,369.20",45.45,24,13,49,
,82,-1,24,28.81,5.10,-2.25,120,5.05,9.00,120,"13,925.00","2,640","1,207.40","1,446.75",360,-,-,-,-,-,21,
,155,4,44,29.15,7.55,-0.70,120,4.05,10.00,120,"13,950.00",360,"1,346.30","1,477.30","2,640",-,-,-,-,-,25,
,62,-,1,32.40,8.80,-1.45,120,4.25,8.80,480,"13,975.00",120,"1,358.15","1,550.80","2,640",-,-,-,-,-,19,
,"5,646",-201,"4,013",30.97,6.00,-1.10,360,5.25,6.00,"1,440","14,000.00",360,"1,366.65","1,456.05",120,497.00,"1,517.00",58.16,26,-7,498,
,92,2,4,32.20,7.20,-0.35,120,4.05,11.90,"2,520","14,025.00","2,640","1,389.50","1,557.55",120,-,-,-,-,-,13,
,116,8,66,33.06,7.80,0.70,"15,000",3.50,8.40,"1,200","14,050.00","2,640","1,405.20","1,582.20",600,-,-,-,-,-,12,
,98,-,3,31.74,5.55,-1.35,120,3.85,13.60,"1,200","14,075.00",360,"1,412.25","1,691.20",360,-,-,-,-,-,-,
,372,-245,"1,190",32.16,4.75,-1.70,360,4.75,5.55,240,"14,100.00",360,"1,465.20","1,625.50",120,-,-,-,-,-,2,
,43,-,2,32.97,5.40,0.40,120,3.05,11.90,120,"14,125.00",360,"1,480.25","1,632.30",120,-,-,-,-,-,1,
,100,10,73,30.99,3.60,-3.00,"1,200",4.05,7.80,120,"14,150.00","3,360","1,533.10","1,678.00",360,-,-,-,-,-,5,
,45,-,-,-,-,-,"15,000",2.80,10.65,"1,200","14,175.00",360,"1,501.10","1,809.85",360,-,-,-,-,-,-,
,"1,332",-187,"1,197",32.74,3.70,-1.80,480,3.75,4.45,240,"14,200.00",720,"1,578.20","1,731.45",120,823.75,"1,543.80",-,22,-,13,
,121,-4,28,32.98,4.30,-1.15,120,3.05,8.75,120,"14,225.00",360,"1,545.60","1,856.85",360,-,-,-,-,-,-,
,52,-1,8,32.93,3.90,-0.70,120,3.05,8.30,120,"14,250.00",360,"1,563.35","1,896.90",360,-,-,-,-,-,-,
,17,-32,55,33.44,4.00,-1.10,120,3.05,5.90,120,"14,275.00",360,"1,588.00","1,927.85",360,-,-,-,-,-,-,
,532,-333,"1,635",33.77,3.70,-1.10,240,3.70,3.85,240,"14,300.00",360,"1,610.90","1,953.40",360,-,-,-,-,-,-,
,15,1,35,34.10,3.90,-0.90,480,2.90,8.90,120,"14,325.00",360,"1,632.25","1,983.30",360,-,-,-,-,-,-,
,50,-4,49,33.08,2.85,-1.80,240,2.85,6.60,"2,520","14,350.00",360,"1,652.05","2,008.85",360,-,-,-,-,-,-,
,38,-1,27,34.37,3.50,0.50,"2,400",2.30,8.60,120,"14,375.00",360,"1,680.20","2,041.65",360,-,-,-,-,-,-,
,265,-84,588,34.76,3.15,-1.05,120,3.15,3.45,360,"14,400.00",360,"1,699.70","2,065.65",360,-,-,-,-,-,-,
,44,-,3,35.78,4.00,-2.05,"15,000",2.50,6.80,"2,520","14,425.00",360,"1,721.35","2,095.65",360,-,-,-,-,-,-,
,59,5,82,35.45,3.75,0.10,"1,200",3.00,3.65,"1,200","14,450.00",360,"1,741.80","2,148.65",360,-,-,-,-,-,-,
,56,-,-,31.03,-,-,120,2.25,6.20,120,"14,475.00",360,"1,768.00","2,196.55",360,-,-,-,-,-,-,
,"2,111",-366,"1,784",35.85,3.00,-0.55,"1,320",2.80,2.95,120,"14,500.00",120,"1,881.25","2,045.00",120,237.35,"1,762.25",-,8,-2,57,
,10,-,-,-,-,-,"15,000",2.00,7.20,120,"14,525.00",360,"1,804.25","2,225.00",360,-,-,-,-,-,-,
,44,-6,8,34.52,2.00,-0.05,"15,000",2.00,6.60,120,"14,550.00",360,"1,826.90","2,258.15",360,-,-,-,-,-,-,
,9,-,-,30.77,-,-,"15,000",2.00,8.90,120,"14,575.00",360,"1,853.00","2,300.80",360,-,-,-,-,-,-,
,541,-12,65,36.37,2.95,-0.05,"1,800",2.15,3.35,120,"14,600.00",360,"1,875.95","2,189.50","3,000",-,-,-,-,-,-,
,7,-,-,29.09,-,-,"2,520",1.00,2.85,120,"14,625.00",360,"1,896.30","2,219.50",360,-,-,-,-,-,-,
,34,-,-,-,-,-,"2,400",0.50,7.70,120,"14,650.00",360,"1,917.90","2,324.80",360,-,-,-,-,-,-,
,7,-,5,41.52,5.65,-1.40,"15,000",1.60,6.95,"2,400","14,675.00",360,"1,943.90","2,396.25",360,-,-,-,-,-,-,
,"2,385",-182,417,36.74,2.10,-0.45,960,1.80,2.20,960,"14,700.00",360,"1,962.15","2,430.90",360,-,-,-,-,-,-,
,117,-,3,38.77,2.95,-,"15,000",1.00,4.85,"2,400","14,725.00",360,"1,990.25","2,321.70",360,-,-,-,-,-,-,
,70,-,1,37.32,2.00,-0.45,"15,000",1.00,6.20,120,"14,750.00",360,"2,014.40","2,350.40",360,-,-,-,-,-,-,
,176,-,1,37.67,2.00,-0.50,"15,000",1.00,5.40,120,"14,775.00",360,"2,027.25","2,376.75",360,-,-,-,-,-,-,
,138,7,50,38.02,2.00,-0.40,"2,760",1.65,2.45,120,"14,800.00",360,"2,051.35","2,399.35",360,-,-,-,-,-,-,
,68,-24,77,39.16,1.90,-0.25,"1,920",1.60,2.00,"2,760","14,900.00",360,"2,133.55","2,596.70",360,-,-,-,-,-,-,
,"1,556",-204,"1,113",39.00,1.60,-0.50,"1,800",1.45,1.60,480,"15,000.00","3,360","2,352.65","2,457.65",120,-,-,58.25,-,-,15,
,24,-42,79,39.80,1.20,-1.00,"1,440",1.40,2.50,"2,760","15,100.00",360,"2,303.25","2,805.35",360,-,-,-,-,-,-,
,53,-18,53,42.05,1.50,-0.25,120,1.05,3.40,120,"15,200.00",360,"2,369.50","2,919.60",360,-,-,-,-,-,-,
,140,4,38,44.21,1.50,0.05,120,1.50,2.00,480,"15,300.00","3,360","2,623.45","3,013.00",360,-,-,-,-,-,-,
,84,-,9,42.77,1.20,-0.35,240,1.00,4.70,"2,400","15,400.00","3,360","2,716.80","3,141.35",360,-,-,-,-,-,-,
,410,6,234,44.20,0.70,-0.50,240,0.75,1.20,"4,560","15,500.00",720,"2,815.15","3,065.35",120,-,-,-,-,-,9,
,375,-54,138,45.19,1.00,-0.10,"12,120",0.70,1.00,"9,240","15,600.00","3,360","2,927.75","3,149.85",360,-,-,-,-,-,4,
